order_item_id,order_id,product_id,quantity
271,917,80,1
272,2273,23,3
273,2248,59,3
274,3440,100,2
275,1568,30,5
276,3744,11,1
277,3326,94,4
278,1094,17,4
279,103,91,4
280,418,11,4
281,3148,96,1
282,3735,13,4
283,1885,23,3
284,4295,44,4
285,1072,71,2
286,344,88,2
287,4993,53,5
288,3397,8,4
289,4163,28,5
290,1496,93,2
291,897,30,5
292,3251,54,4
293,2478,29,2
294,1977,4,2
295,3651,15,4
296,4472,71,3
297,1175,25,5
298,2798,45,1
299,4901,15,1
300,4053,82,5
301,3101,66,5
302,4283,76,2
303,789,37,5
304,4937,47,1
305,802,100,5
306,1245,43,1
307,4842,93,1
308,4866,54,2
309,1173,60,5
310,4140,63,2
311,2299,87,3
312,1942,85,4
313,4249,66,4
314,1315,55,3
315,1808,7,3
316,1699,88,2
317,1669,20,1
318,3335,10,1
319,4223,36,3
320,1214,22,3
321,3944,67,4
322,1719,51,1
323,2076,18,5
324,4775,71,3
325,3827,32,1
326,3277,98,3
327,4375,76,1
328,3349,74,1
329,3050,80,3
330,3678,20,3
331,2456,60,3
332,240,96,3
333,1062,56,3
334,3843,14,3
335,2649,56,4
336,4457,64,3
337,133,59,2
338,2140,3,1
339,3441,95,2
340,289,40,4
341,4173,15,3
342,1017,20,2
343,3242,72,4
344,4893,31,5
345,2162,56,3
346,59,9,4
347,2391,76,5
348,2812,64,1
349,4549,25,4
350,3593,92,2
351,3256,35,4
352,1845,16,2
353,1131,61,1
354,3938,5,2
355,1042,30,1
356,1566,54,5
357,1474,26,3
358,1430,15,5
359,3203,66,1
360,930,14,2
361,1785,100,3
362,4012,55,3
363,4561,44,4
364,510,52,1
365,1305,32,1
366,2475,53,3
367,3094,76,3
368,1980,41,4
369,4114,35,1
370,2042,89,2
371,2500,58,2
372,4088,31,1
373,3959,81,2
374,1698,97,5
375,615,85,1
376,2054,88,3
377,274,13,5
378,3584,26,3
379,3844,85,3
380,4846,29,5
381,922,33,2
382,2724,37,4
383,2297,51,2
384,2712,12,2
385,1635,19,1
386,4903,76,3
387,4718,95,3
388,1732,50,5
389,2151,87,3
390,2652,10,2
391,836,84,2
392,1328,52,1
393,695,1,1
394,18,86,5
395,2281,48,5
396,4659,56,5
397,4240,28,4
398,3044,72,5
399,3542,98,2
400,3,50,5
401,567,80,2
402,208,85,2
403,3370,12,2
404,1297,97,1
405,3915,52,5
406,1978,61,1
407,4220,81,1
408,2608,75,4
409,3107,94,1
410,3550,92,1
411,2759,43,5
412,3190,14,1
413,2104,2,1
414,1635,29,1
415,4223,8,4
416,2478,23,4
417,2044,67,2
418,4663,57,3
419,4516,13,5
420,3752,19,1
421,4046,24,5
422,752,57,3
423,152,41,2
424,134,6,4
425,3167,90,3
426,1560,3,1
427,54,12,5
428,360,22,3
429,9,43,4
430,1172,34,3
431,4668,77,1
432,455,97,1
433,1483,16,5
434,1307,56,4
435,4665,97,2
436,2077,11,4
437,3802,2,1
438,4074,40,2
439,808,43,3
440,3132,44,3
441,4252,62,1
442,3158,73,4
443,4765,31,5
444,389,83,4
445,457,39,2
446,1600,97,5
447,923,91,1
448,1946,22,1
449,3045,45,4
450,838,66,5
451,20,7,1
452,35,60,5
453,2049,26,5
454,92,70,1
455,1161,35,3
456,3995,97,3
457,1153,51,4
458,1115,27,4
459,4266,83,4
460,4310,6,5
461,2503,58,1
462,957,51,4
463,3810,71,4
464,3765,90,4
465,2411,69,3
466,4628,100,4
467,1399,48,4
468,3526,24,2
469,1660,5,1
470,1365,89,2
471,1944,52,5
472,3283,19,3
473,1292,13,2
474,2344,38,2
475,1869,21,1
476,4181,50,3
477,4915,54,3
478,2999,70,2
479,4206,63,5
480,593,29,5
481,783,15,3
482,3232,10,5
483,200,35,4
484,1897,61,5
485,3687,66,3
486,2774,49,3
487,1442,58,1
488,3753,65,5
489,4848,15,5
490,4492,49,3
491,812,48,5
492,516,30,1
493,4490,29,2
494,1170,91,2
495,626,55,2
496,1234,13,1
497,1798,5,2
498,2141,96,4
499,4239,10,5
500,2492,70,2
501,4393,11,2
502,1205,91,2
503,1735,75,5
504,556,33,5
505,4525,90,5
506,4325,43,4
507,210,10,2
508,4074,10,5
509,3760,100,3
510,3203,56,1
511,4155,59,2
512,2700,27,1
513,182,92,5
514,3428,65,4
515,1579,87,5
516,3760,100,5
517,3844,82,2
518,1070,42,4
519,4540,45,1
520,343,100,3
521,41,86,5
522,4180,12,2
523,3562,47,5
524,4536,10,2
525,1486,26,1
526,4556,18,3
527,1025,39,4
528,3941,36,5
529,236,86,2
530,2109,6,4
531,1471,96,3
532,285,66,2
533,4499,76,3
534,2594,82,3
535,1196,1,5
536,1807,63,4
537,3826,17,2
538,2224,98,3
539,4697,72,1
540,2784,76,1
541,3114,82,2
542,4425,35,1
543,3010,35,4
544,2728,100,3
545,4048,73,4
546,2368,25,4
547,1713,100,1
548,1245,86,3
549,4177,88,1
550,2649,3,4
551,1685,69,2
552,1859,100,1
553,2827,64,2
554,464,31,4
555,4456,96,4
556,4139,91,5
557,4622,40,2
558,4129,81,1
559,696,31,5
560,3352,43,5
561,3354,21,1
562,3032,48,5
563,4986,84,3
564,2889,55,1
565,4611,27,4
566,4199,74,5
567,437,48,2
568,1062,71,2
569,3275,61,5
570,3690,68,1
571,1686,75,3
572,4949,62,4
573,1946,83,5
574,3060,81,4
575,4495,22,4
576,2187,56,3
577,1326,6,1
578,4014,83,4
579,929,99,5
580,3380,35,5
581,4216,4,1
582,3713,43,2
583,2613,61,3
584,3458,10,2
585,1392,47,2
586,3117,45,5
587,3854,67,5
588,1117,63,5
589,1128,52,3
590,2362,65,1
591,2153,54,3
592,3576,21,4
593,3668,29,4
594,4995,5,5
595,4361,88,2
596,1058,21,1
597,3787,63,2
598,2460,34,3
599,2183,14,2
600,1765,98,3
601,4671,34,2
602,3206,65,2
603,1066,2,4
604,1041,19,3
605,3455,88,3
606,1311,57,4
607,4299,69,1
608,4365,85,4
609,4645,11,1
610,3941,30,2
611,1906,88,5
612,349,78,4
613,4237,7,4
614,2129,43,3
615,2324,72,2
616,3269,34,4
617,1000,84,5
618,1455,19,1
619,603,38,2
620,2277,73,1
621,1759,12,3
622,4508,68,3
623,4247,63,5
624,2640,75,3
625,4096,4,5
626,1474,53,2
627,3210,26,1
628,4915,74,2
629,1494,48,5
630,404,71,4
631,3035,27,3
632,3565,38,4
633,4935,22,3
634,4061,46,3
635,2415,48,5
636,3014,49,3
637,928,2,4
638,3016,87,4
639,4459,47,2
640,3336,56,4
641,3215,41,2
642,2387,81,5
643,2068,24,1
644,1682,80,3
645,962,24,4
646,3565,60,4
647,3853,80,1
648,1283,51,2
649,1105,83,2
650,1412,39,3
651,1415,63,5
652,3918,76,4
653,818,50,1
654,4867,52,5
655,3707,84,2
656,971,12,3
657,957,14,1
658,1995,77,4
659,2677,30,3
660,3441,7,3
661,3429,50,5
662,3425,11,4
663,3720,82,3
664,2187,3,3
665,2808,21,3
666,185,26,5
667,592,11,4
668,4020,3,3
669,1473,73,4
670,2554,33,5
671,1570,89,3
672,263,53,5
673,1631,3,5
674,2566,53,5
675,4509,9,4
676,3461,88,2
677,3254,69,2
678,517,23,4
679,3302,89,2
680,3685,67,3
681,3451,62,1
682,4603,25,5
683,2880,55,5
684,4081,14,5
685,4467,34,1
686,767,95,5
687,3964,66,3
688,32,85,5
689,3972,19,3
690,2530,91,5
691,4482,51,2
692,1787,36,4
693,1498,58,2
694,4268,24,4
695,3439,30,4
696,2993,33,2
697,4296,84,3
698,4876,59,2
699,2011,52,5
700,108,96,5
701,3950,7,2
702,1417,74,4
703,2748,60,3
704,35,29,3
705,3992,51,1
706,2510,79,1
707,3063,59,3
708,4805,25,3
709,1633,6,5
710,1160,82,4
711,3775,60,1
712,3007,100,2
713,2462,75,4
714,3213,81,4
715,1697,49,2
716,548,62,2
717,3523,7,1
718,1206,89,3
719,3830,36,1
720,4385,76,3
721,1906,27,5
722,4983,70,1
723,1624,27,5
724,2911,90,5
725,880,22,1
726,2055,81,4
727,3742,83,1
728,3139,11,5
729,3633,72,4
730,448,14,5
731,113,93,1
732,308,77,2
733,4712,67,1
734,4633,72,4
735,3788,4,3
736,4455,69,2
737,3300,45,5
738,2649,60,4
739,4479,58,2
740,4512,17,3
741,3008,62,5
742,1719,94,1
743,1911,74,5
744,3764,37,2
745,756,89,5
746,1196,45,4
747,1005,6,5
748,3014,50,1
749,3941,93,5
750,2513,63,4
751,4031,94,1
752,1649,75,1
753,4159,58,1
754,1193,29,3
755,3694,62,1
756,2516,10,2
757,1028,63,3
758,1097,60,2
759,4301,82,5
760,2891,84,1
761,2107,100,2
762,2424,34,4
763,2835,53,1
764,3389,55,1
765,41,75,2
766,3831,99,1
767,2566,15,1
768,174,24,2
769,4831,74,5
770,1817,43,1
771,1897,3,3
772,1515,13,3
773,555,3,3
774,909,11,1
775,3785,13,5
776,4828,86,1
777,2778,44,4
778,3244,74,2
779,4296,88,1
780,43,41,4
781,157,17,3
782,1533,1,5
783,1845,63,5
784,3646,34,3
785,2239,12,1
786,250,4,4
787,4401,70,2
788,4830,44,3
789,618,5,2
790,1016,64,5
791,2385,15,2
792,116,92,3
793,1421,92,4
794,1155,31,1
795,2902,33,3
796,712,88,2
797,1555,96,2
798,1104,33,2
799,2677,20,2
800,2419,43,2
801,1147,43,3
802,4121,6,5
803,2416,25,5
804,3695,98,2
805,2794,89,4
806,1087,50,2
807,4366,93,5
808,4900,81,3
809,140,44,1
810,4779,94,2
811,4285,61,5
812,4421,44,3
813,1431,77,3
814,3246,57,2
815,112,69,5
816,2407,65,3
817,2405,45,5
818,2662,78,3
819,4874,21,1
820,526,56,2
821,4968,96,1
822,3538,68,3
823,2009,61,1
824,312,18,5
825,3319,97,3
826,1733,90,4
827,3777,61,1
828,1849,49,3
829,1545,56,2
830,2853,47,5
831,579,92,4
832,2296,75,4
833,4938,27,1
834,4746,65,1
835,4773,41,5
836,2823,95,3
837,1300,49,5
838,405,83,3
839,4326,100,3
840,3194,82,4
841,3090,42,2
842,2117,83,2
843,1254,52,5
844,3550,76,5
845,1111,36,2
846,628,57,5
847,33,89,1
848,576,51,4
849,4288,85,4
850,1976,70,1
851,2946,25,5
852,1708,20,5
853,2492,62,5
854,2992,7,4
855,911,46,5
856,3816,10,1
857,3016,7,5
858,2733,57,1
859,4375,14,2
860,1422,63,2
861,2435,94,5
862,151,78,3
863,3405,60,1
864,210,82,2
865,1705,48,4
866,1818,74,3
867,3363,27,3
868,356,36,2
869,3821,39,1
870,1662,45,5
871,2650,33,5
872,4156,98,3
873,3593,27,1
874,1541,38,5
875,723,76,3
876,1443,63,3
877,1821,95,3
878,4567,10,2
879,1920,24,5
880,1003,40,2
881,554,29,1
882,3300,70,1
883,377,61,2
884,3338,91,4
885,4884,48,2
886,959,4,2
887,3623,65,2
888,2830,100,4
889,2971,39,2
890,3834,98,4
891,1423,16,5
892,2124,34,4
893,3452,85,2
894,1301,98,5
895,815,28,1
896,9,3,5
897,3849,31,1
898,966,48,1
899,4301,34,5
900,2152,78,3
901,3993,80,1
902,613,56,4
903,52,48,4
904,4970,14,5
905,814,41,4
906,3755,4,5
907,250,91,3
908,4553,66,2
909,4411,90,3
910,4113,81,3
911,3294,73,5
912,1875,22,5
913,4430,44,4
914,4512,14,4
915,3444,29,2
916,1266,13,3
917,3553,57,2
918,2933,88,2
919,4431,32,1
920,293,16,2
921,2457,2,5
922,3646,71,4
923,2977,62,3
924,3402,34,5
925,3981,60,5
926,1930,54,3
927,2175,30,3
928,4342,25,3
929,358,34,1
930,1911,16,3
931,2935,19,4
932,2796,2,3
933,4180,27,2
934,4335,56,4
935,816,11,3
936,2295,26,2
937,1747,55,4
938,3100,51,2
939,606,95,2
940,1176,100,2
941,3642,95,5
942,3787,7,4
943,1359,28,1
944,212,68,2
945,3025,3,3
946,4784,32,2
947,4492,32,4
948,1225,33,2
949,2971,50,5
950,1947,74,2
951,4903,4,1
952,2011,46,2
953,1227,6,5
954,2277,75,2
955,1936,50,4
956,1573,72,3
957,1785,57,1
958,4492,41,2
959,2747,84,4
960,461,48,2
961,1545,12,4
962,4265,7,2
963,2902,4,2
964,1360,87,1
965,488,69,1
966,2930,91,4
967,4972,40,3
968,3931,39,5
969,168,53,3
970,1836,66,3
971,764,4,2
972,1060,76,3
973,1514,13,5
974,2363,76,4
975,59,58,1
976,4519,89,2
977,2789,61,5
978,677,42,1
979,895,41,3
980,2297,97,3
981,3257,52,5
982,641,91,4
983,3023,99,4
984,954,48,4
985,3711,77,5
986,3250,52,2
987,4415,46,1
988,4643,100,1
989,4418,100,4
990,3230,68,1
991,1160,77,4
992,3980,45,1
993,1662,100,1
994,4166,27,4
995,4945,22,5
996,3933,24,3
997,1799,96,5
998,3925,50,1
999,3502,82,1
1000,1004,37,3
1001,2151,16,4
1002,332,78,3
1003,1840,30,5
1004,3274,41,1
1005,4031,13,3
1006,531,73,1
1007,1291,89,5
1008,76,40,4
1009,1814,4,4
1010,2312,66,4
1011,2750,94,1
1012,1191,74,5
1013,1498,61,3
1014,121,42,2
1015,519,4,5
1016,2844,26,2
1017,3183,73,4
1018,394,48,1
1019,1540,95,2
1020,2547,45,3
1021,3126,42,5
1022,2494,16,4
1023,4710,66,1
1024,2134,86,5
1025,500,37,2
1026,423,79,1
1027,4906,31,5
1028,3340,90,4
1029,3047,14,4
1030,284,66,1
1031,1396,75,1
1032,3517,56,4
1033,374,99,4
1034,2075,82,4
1035,351,11,4
1036,1543,75,4
1037,592,63,4
1038,981,99,4
1039,1802,89,1
1040,3533,58,1
1041,2299,40,3
1042,81,92,3
1043,1788,75,2
1044,2050,76,5
1045,577,53,4
1046,4590,82,5
1047,4474,95,4
1048,4383,56,1
1049,3674,27,1
1050,271,41,3
1051,1078,25,5
1052,60,79,3
1053,761,30,2
1054,1185,3,3
1055,1175,42,4
1056,2093,100,2
1057,4264,34,2
1058,3686,56,2
1059,4475,75,1
1060,1967,37,4
1061,3586,83,1
1062,3520,94,5
1063,530,23,4
1064,2400,77,2
1065,3894,45,1
1066,97,10,5
1067,2526,64,2
1068,1953,21,5
1069,4019,38,1
1070,1913,47,1
1071,4745,72,4
1072,4721,66,1
1073,1046,92,4
1074,1457,25,1
1075,4726,24,5
1076,1476,73,3
1077,3071,87,2
1078,4702,72,1
1079,470,2,5
1080,2463,9,1
1081,4015,13,1
1082,894,16,1
1083,3629,81,3
1084,854,100,3
1085,4183,26,5
1086,336,19,3
1087,3241,51,4
1088,2200,62,4
1089,2815,18,5
1090,1270,15,1
1091,3865,67,5
1092,452,43,1
1093,4649,85,3
1094,1808,16,4
1095,241,67,5
1096,2047,37,1
1097,2668,95,1
1098,1824,49,4
1099,4053,60,4
1100,911,55,2
1101,1760,42,5
1102,905,27,4
1103,4232,58,3
1104,726,69,2
1105,1769,64,2
1106,4801,31,1
1107,2531,32,3
1108,3021,6,3
1109,1921,60,3
1110,3921,15,1
1111,4241,13,1
1112,1440,68,3
1113,4763,83,2
1114,752,59,2
1115,554,1,5
1116,4440,74,4
1117,3852,79,2
1118,3405,54,4
1119,2816,10,2
1120,1896,44,3
1121,1954,11,2
1122,3552,46,2
1123,3650,3,2
1124,682,49,3
1125,3894,15,1
1126,4188,83,3
1127,3540,50,2
1128,2370,84,5
1129,2134,52,3
1130,1007,48,4
1131,392,76,3
1132,688,7,1
1133,912,69,2
1134,675,73,3
1135,4609,62,5
1136,3653,24,1
1137,287,75,3
1138,1465,92,3
1139,4679,72,2
1140,3755,73,5
1141,1794,1,3
1142,3987,25,3
1143,1344,89,3
1144,4405,77,1
1145,4478,85,3
1146,4956,70,2
1147,1250,90,2
1148,2081,92,4
1149,2211,100,4
1150,4203,38,2
1151,2865,35,5
1152,994,90,2
1153,1024,50,4
1154,3777,25,2
1155,1105,47,2
1156,1879,1,5
1157,2034,95,3
1158,561,89,1
1159,425,14,2
1160,2904,67,1
1161,3462,21,4
1162,347,81,5
1163,2749,15,2
1164,3912,46,1
1165,3628,38,4
1166,602,80,1
1167,2543,30,4
1168,444,40,1
1169,4761,86,1
1170,2530,79,2
1171,1072,98,2
1172,3784,66,1
1173,1122,78,3
1174,2991,27,3
1175,1488,47,2
1176,3364,41,1
1177,2341,54,5
1178,91,99,4
1179,2469,69,4
1180,3645,21,4
1181,1839,65,3
1182,233,62,2
1183,3123,38,3
1184,2331,42,4
1185,2871,37,2
1186,2484,17,1
1187,3917,21,2
1188,2993,69,3
1189,3882,49,3
1190,2681,81,3
1191,3265,15,4
1192,2055,39,5
1193,1308,27,5
1194,4456,40,2
1195,1381,34,1
1196,4218,63,5
1197,3854,19,5
1198,2994,6,4
1199,1415,58,4
1200,248,55,2
1201,2012,78,4
1202,2138,6,5
1203,1564,97,1
1204,1969,18,2
1205,3507,34,3
1206,523,53,1
1207,1650,82,4
1208,255,8,4
1209,3403,30,1
1210,3247,12,4
1211,2474,51,2
1212,3817,32,1
1213,4393,32,1
1214,1333,94,5
1215,3973,44,1
1216,2595,42,1
1217,2033,9,5
1218,4204,69,4
1219,167,29,2
1220,1305,65,5
1221,3940,57,3
1222,3054,71,2
1223,1979,4,5
1224,4240,62,5
1225,3450,36,1
1226,4943,26,1
1227,1054,63,2
1228,1831,80,3
1229,2987,86,3
1230,1470,66,3
1231,4098,99,5
1232,807,77,1
1233,2307,59,5
1234,4001,81,5
1235,646,44,4
1236,4578,63,2
1237,1231,44,4
1238,3069,35,5
1239,3688,75,4
1240,3914,27,1
1241,21,85,4
1242,3981,72,2
1243,2048,43,3
1244,1005,50,3
1245,3908,74,2
1246,655,88,4
1247,3338,7,2
1248,2350,23,2
1249,4653,59,4
1250,614,32,4
1251,2197,100,4
1252,3660,88,4
1253,1170,80,4
1254,4002,53,4
1255,3436,61,4
1256,1487,15,3
1257,997,89,5
1258,183,12,5
1259,4378,34,2
1260,2341,83,4
1261,4188,75,4
1262,1685,50,1
1263,1336,95,5
1264,1332,55,1
1265,4931,96,1
1266,2119,81,1
1267,2275,62,2
1268,4273,41,3
1269,671,66,3
1270,4630,71,2
1271,1303,1,2
1272,2637,31,3
1273,1331,89,1
1274,1988,34,1
1275,3149,51,3
1276,2421,89,2
1277,381,37,5
1278,1775,68,3
1279,2442,4,1
1280,3384,6,5
1281,1537,63,5
1282,651,25,5
1283,2895,52,4
1284,1129,87,3
1285,4960,82,3
1286,4411,58,2
1287,3521,3,1
1288,3001,17,2
1289,2986,73,1
1290,3625,71,3
1291,377,47,2
1292,4826,70,1
1293,4665,50,1
1294,3405,37,4
1295,9,64,5
1296,831,65,2
1297,2490,38,1
1298,1623,89,4
1299,4921,55,2
1300,2939,67,3
1301,4346,12,1
1302,3860,76,1
1303,2815,23,1
1304,2045,8,3
1305,1073,45,4
1306,3890,67,5
1307,1762,95,1
1308,3010,69,5
1309,554,37,1
1310,3668,85,3
1311,1504,88,2
1312,4378,93,2
1313,3333,55,5
1314,3957,97,5
1315,1134,98,4
1316,1090,73,4
1317,395,2,5
1318,1759,58,4
1319,4875,13,3
1320,4189,58,4
1321,4817,26,3
1322,1013,96,2
1323,2432,95,3
1324,4886,11,2
1325,2564,43,5
1326,1539,99,3
1327,370,19,1
1328,4099,99,2
1329,2575,62,5
1330,2783,1,2
1331,3976,12,5
1332,1725,32,1
1333,837,82,2
1334,281,47,1
1335,689,88,1
1336,2961,71,2
1337,2832,93,4
1338,1801,35,3
1339,4512,9,4
1340,2895,52,2
1341,4211,56,4
1342,3743,9,2
1343,2889,67,1
1344,2322,98,3
1345,1849,12,3
1346,959,82,2
1347,3482,77,3
1348,1966,50,1
1349,2094,43,2
1350,1410,82,1
1351,3875,19,1
1352,3485,31,5
1353,2192,65,3
1354,3987,34,3
1355,2901,31,5
1356,4193,45,1
1357,2975,86,2
1358,2512,29,2
1359,1472,72,3
1360,1981,42,5
1361,12,26,4
1362,1297,58,1
1363,4329,31,2
1364,828,30,5
1365,3612,52,5
1366,3236,79,2
1367,1469,16,4
1368,1386,9,4
1369,1887,11,2
1370,2574,63,1
1371,1924,90,4
1372,1631,100,4
1373,3645,23,3
1374,2033,25,1
1375,2248,65,3
1376,4869,80,3
1377,75,61,5
1378,2978,37,1
1379,3200,16,2
1380,3701,79,1
1381,1194,26,1
1382,3805,56,4
1383,2161,63,2
1384,516,91,4
1385,822,97,2
1386,2398,96,2
1387,3059,14,5
1388,4391,53,2
1389,2105,76,3
1390,3354,27,1
1391,4694,58,4
1392,4472,27,3
1393,166,58,3
1394,1227,5,3
1395,1465,14,3
1396,409,1,3
1397,4029,2,4
1398,4039,15,2
1399,838,26,3
1400,1412,34,5
1401,2945,40,5
1402,1017,76,3
1403,3007,26,5
1404,371,98,2
1405,4356,12,4
1406,4924,43,5
1407,1116,34,4
1408,1890,79,4
1409,161,2,5
1410,3069,15,5
1411,3616,87,1
1412,3889,37,4
1413,42,33,1
1414,4074,48,2
1415,4294,71,2
1416,3847,58,4
1417,3256,10,1
1418,299,41,5
1419,2087,96,5
1420,2934,49,3
1421,4083,92,1
1422,464,23,5
1423,3091,35,4
1424,4369,5,4
1425,1298,40,5
1426,320,16,1
1427,2049,53,4
1428,267,96,1
1429,3863,61,4
1430,1272,43,3
1431,4546,5,3
1432,1530,37,3
1433,873,69,2
1434,4302,69,2
1435,4846,32,5
1436,956,56,4
1437,1416,17,3
1438,4194,70,1
1439,1970,78,4
1440,4680,30,3
1441,279,54,4
1442,2071,14,2
1443,4947,8,5
1444,3306,34,1
1445,1029,27,4
1446,4640,26,4
1447,4505,21,3
1448,4043,59,3
1449,4405,90,1
1450,3546,86,1
1451,3327,43,1
1452,3594,33,4
1453,3629,84,4
1454,4068,97,4
1455,1933,44,1
1456,1748,8,2
1457,3235,90,2
1458,2946,22,1
1459,4119,3,1
1460,4226,88,3
1461,2533,52,2
1462,3570,84,3
1463,2282,57,4
1464,3048,20,3
1465,2194,44,2
1466,3102,98,2
1467,2638,60,5
1468,2034,33,3
1469,2862,87,2
1470,2948,87,4
1471,2222,84,2
1472,3380,91,5
1473,3795,26,1
1474,1966,49,3
1475,3115,58,4
1476,1171,57,4
1477,2599,62,4
1478,3341,96,5
1479,1072,54,2
1480,3851,95,1
1481,3472,94,2
1482,1018,30,3
1483,294,21,5
1484,655,2,1
1485,2815,74,3
1486,376,95,4
1487,4772,48,3
1488,1336,65,3
1489,3539,53,2
1490,1999,35,2
1491,6,53,2
1492,1903,100,5
1493,1632,80,5
1494,4472,94,3
1495,3945,8,1
1496,4535,2,1
1497,3010,88,4
1498,3689,71,5
1499,1427,7,2
1500,389,35,2
1501,4988,26,3
1502,1419,94,2
1503,2583,54,4
1504,1528,19,2
1505,1403,61,2
1506,3623,75,5
1507,2523,40,3
1508,4440,40,3
1509,3112,44,5
1510,2496,41,3
1511,2907,75,3
1512,309,13,3
1513,2475,4,1
1514,1170,11,1
1515,4347,85,2
1516,3135,64,3
1517,353,34,4
1518,4231,52,4
1519,4933,92,4
1520,1617,76,3
1521,2584,66,3
1522,4026,94,1
1523,3798,30,2
